"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Авторизация на Mail.ru , изменение в личных настройках имени и фамилии пользователя.
          Проверка введеных пользователем данных.","SUCCESS","2017-05-05T01:32:56.923+03:00","0.0","28.24"
"Lookup a definition","Авторизация на Mail.ru и отправка нового письма с указанием получателя и темы.","SUCCESS","2017-05-05T01:07:45.288+03:00","0.0","27.09"
